"RaumKategorie","RaumSort","RaumLang","StichtagDatJahr","AnzBestWir","FlaecheT","FlaecheL","FlaecheS","DichteT","DichteL","DichteS"
"Stadtquartier",74,"Witikon",2010,10242,493.3,284.5,135.9,20.8,36,75.4
"Stadtquartier",74,"Witikon",2011,10258,494.1,285.3,136.5,20.8,36,75.2
"Stadtquartier",74,"Witikon",2012,10246,493.3,284.5,135.9,20.8,36,75.4
"Stadtquartier",74,"Witikon",2013,10267,493.3,284.5,136.2,20.8,36.1,75.4
"Stadtquartier",74,"Witikon",2014,10406,493.5,284.6,136.2,21.1,36.6,76.4
"Stadtquartier",74,"Witikon",2015,10639,493.4,283.8,136.2,21.6,37.5,78.1
"Stadtquartier",74,"Witikon",2016,10667,493.4,283.4,137.9,21.6,37.6,77.3
"Stadtquartier",74,"Witikon",2017,10600,493.4,282.8,137.9,21.5,37.5,76.9
"Stadtquartier",74,"Witikon",2018,10953,493.4,284.4,138.1,22.2,38.5,79.3
"Stadtquartier",74,"Witikon",2019,11054,494.4,285.5,138.1,22.4,38.7,80
"Stadtquartier",74,"Witikon",2020,11244,493.4,284.5,138.1,22.8,39.5,81.4
"Stadtquartier",74,"Witikon",2021,11255,493.4,284.5,138.1,22.8,39.6,81.5
"Stadtquartier",74,"Witikon",2022,11402,493.4,284.5,138.1,23.1,40.1,82.6
"Stadtquartier",81,"Seefeld",2009,4732,242.3,67.1,36.4,19.5,70.5,130
"Stadtquartier",81,"Seefeld",2010,4840,242.3,67.1,36.4,20,72.2,133
"Stadtquartier",81,"Seefeld",2011,4908,242.3,67.1,36.5,20.3,73.2,134.4
"Stadtquartier",81,"Seefeld",2012,4916,242.3,67.1,36.7,20.3,73.3,133.8
"Stadtquartier",81,"Seefeld",2013,4978,242.3,67.1,36.7,20.5,74.2,135.8
"Stadtquartier",81,"Seefeld",2014,5035,242.2,67.1,37.1,20.8,75.1,135.7
"Stadtquartier",81,"Seefeld",2015,4990,242.2,67,37.1,20.6,74.4,134.5
"Stadtquartier",81,"Seefeld",2016,5046,242.2,67.1,36.8,20.8,75.3,137
"Stadtquartier",81,"Seefeld",2017,5129,242.2,67.1,36.8,21.2,76.5,139.2
"Stadtquartier",81,"Seefeld",2018,5253,242.2,67.1,36.9,21.7,78.3,142.3
"Stadtquartier",81,"Seefeld",2019,5319,242.2,67.1,36.9,22,79.3,144.1
"Stadtquartier",81,"Seefeld",2020,5480,242.2,67,36.9,22.6,81.8,148.6
"Stadtquartier",81,"Seefeld",2021,5862,242.2,67,36.9,24.2,87.5,159
"Stadtquartier",81,"Seefeld",2022,5815,242.2,67,36.9,24,86.8,157.7
"Stadtquartier",82,"Mühlebach",2009,5545,63.8,63.6,48.1,86.9,87.2,115.2
"Stadtquartier",82,"Mühlebach",2010,5679,63.8,63.6,48.2,89,89.3,117.7
"Stadtquartier",82,"Mühlebach",2011,5651,63.5,63.4,48.3,88.9,89.2,117
"Stadtquartier",82,"Mühlebach",2012,5745,63.8,63.6,48.3,90.1,90.3,118.8
"Stadtquartier",82,"Mühlebach",2013,5912,63.8,63.6,47.5,92.7,92.9,124.5
"Stadtquartier",82,"Mühlebach",2014,6107,63.9,63.8,47.5,95.5,95.8,128.6
"Stadtquartier",82,"Mühlebach",2015,6116,63.9,63.8,47.5,95.7,95.9,128.8
"Stadtquartier",82,"Mühlebach",2016,6137,63.9,63.8,48,96,96.2,127.8
"Stadtquartier",82,"Mühlebach",2017,6164,63.9,63.8,48,96.4,96.6,128.4
"Stadtquartier",82,"Mühlebach",2018,6315,63.9,63.8,48,98.8,99,131.4
"Stadtquartier",82,"Mühlebach",2019,6327,63.9,63.8,48,99,99.2,131.7
"Stadtquartier",82,"Mühlebach",2020,6414,63.9,63.8,48,100.4,100.6,133.5
"Stadtquartier",82,"Mühlebach",2021,6408,63.9,63.8,48,100.3,100.5,133.4
"Stadtquartier",82,"Mühlebach",2022,6440,63.9,63.8,48,100.8,101,134.1
"Stadtquartier",83,"Weinegg",2009,4935,174.5,157.8,94.2,28.3,31.3,52.4
"Stadtquartier",83,"Weinegg",2010,4999,174.5,157.8,94.1,28.6,31.7,53.1
"Stadtquartier",83,"Weinegg",2011,4942,158,141.4,89.7,31.3,34.9,55.1
"Stadtquartier",83,"Weinegg",2012,4783,174.5,157.8,93.4,27.4,30.3,51.2
"Stadtquartier",83,"Weinegg",2013,5022,174.5,157.8,93.5,28.8,31.8,53.7
"Stadtquartier",83,"Weinegg",2014,5036,174.5,157.8,93.6,28.9,31.9,53.8
"Stadtquartier",83,"Weinegg",2015,5086,174.5,157.8,93.7,29.1,32.2,54.3
"Stadtquartier",83,"Weinegg",2016,5030,174.5,157.6,96.7,28.8,31.9,52
